Name	Blank	SRR6819014	SRR6819015	SRR6819016	SRR6819017	SRR6819018	SRR6819019	SRR6819020	SRR6819021	SRR6819022	SRR6819023
PCID2		7.698249243	7.990774603	7.839188298	7.866197478	8.528786975	8.649932033	8.539108569	8.552696476	8.546244992	8.568060403
PLK1		6.256110034	6.031169204	6.594759637	6.505406226	6.099388754	6.507008036	6.01983503	6.260809445	5.590090486	6.249140328
RBBP5		8.7207986	8.628744935	8.920388668	8.755813822	8.531622035	8.719994903	8.388019101	8.427514824	8.525085678	8.565619536
KRT10		0	1.637564713	0	0	4.415622372	5.479370073	5.204211827	4.698615317	4.908248815	4.035423902
THNSL2_3		8.385476974	8.257847735	8.470818642	7.95842413	8.491415061	8.586558074	7.800380586	8.834946087	8.359639853	8.030546902
RPS4		15.25261776	15.18961998	15.68723285	15.33164383	14.89584231	14.88381318	15.13939544	14.88052329	14.75458745	14.58231028
OTOP3_3		9.713913794	9.836336464	9.392079781	8.951786209	9.499580679	9.694750285	9.629884035	9.481606136	9.568646286	9.483233626
GPROP12_14		3.865702016	4.466889274	4.960586124	3.790317358	4.510644398	5.187253285	4.154785853	4.862353909	4.258719443	4.900660942
ALPHATUB84B_6		8.90914082	9.255489214	9.695452771	9.173227858	7.316298486	8.333785145	9.351622915	6.400604192	6.642087795	7.75867742
NT1_18		8.277391188	8.043680924	7.830909446	7.987901134	12.55764694	13.49980898	13.6913904	13.42088615	13.72261429	13.01079729
EIF3S7_2		11.85984293	11.78984543	12.07457579	12.09180468	11.90299756	11.94055263	11.99104327	12.03997603	11.86364245	11.95040067
NT1_19		2.814464671	3.880108694	4.960586124	4.869792732	4.204452674	5.951296874	5.805280392	6.346300748	6.287367141	6.122014112
MFSD12		5.708572027	5.029939901	6.138477156	4.931776148	5.736279016	5.908292736	5.445947069	4.974010877	5.148570328	5.997158025
HR4_1		4.137101818	5.205307683	4.457153717	6.622796489	4.365656446	4.773421785	4.154785853	3.753130713	4.509137941	4.384652885
KIF3A		7.698249243	7.923360208	7.830909446	7.850236453	7.915707961	7.822285854	7.778453843	8.000749216	7.898866484	7.775672559
UFC1		7.947836846	8.242842827	8.449346627	8.307231399	8.382566677	8.267270685	8.16955695	8.308295283	8.455957373	8.277230086
UQCRC2		12.96820167	12.89076901	13.13933181	12.93965469	12.72412213	12.69520412	12.84002987	12.72847348	12.75498069	12.60976795
DDX39B_3		4.562528307	3.530696166	4.960586124	4.591209649	4.510644398	4.567712561	4.404257504	5.077643511	5.033407836	4.195539921
CSN5_2		10.07840456	9.885471114	10.26608437	10.0825854	10.20470386	10.16216879	10.12003089	10.20828084	10.14490659	10.22893645
ATP1B1		12.1008814	12.36762852	12.11477014	11.83222603	12.31451553	12.39870122	12.34441317	12.43216097	12.45513358	12.48373294
BAZ2B_6		7.33016773	6.735658777	7.269675515	7.252292068	7.26270448	7.052519488	7.174558905	7.463934771	7.414760275	7.328687608
BETA4GALT7		7.18814338	7.122018491	7.128201145	7.557657662	7.876104414	8.309200183	8.082758118	8.044040023	7.915223599	7.881513698
CLN3_4		6.227348851	5.959553461	6.216814117	5.812324864	5.755807794	5.222788911	5.652930951	5.531473304	5.719911238	6.03998862
HPR1		9.549376826	9.337820233	9.702276584	9.766953398	10.12528832	9.888363726	9.831457853	10.04420522	9.936338372	10.05973998
NANOS3		5.157805521	5.934869142	5.666545468	5.43821327	4.146450484	5.419374865	5.24741959	5.45655237	4.818338833	5.047826139
